sep=,
component_id,component_name,state,state_name,state_description,severity,countermeasure_id,countermeasure,downtime_estimate_min,skill_required,relevance_rank,effectiveness_pct,source_status
ROBOT_ARM,機器手臂,SERVO_OVERLOAD,伺服馬達負載過高/磨損,減速機磨損導致伺服馬達電流與扭矩負載上升，長期超標將導致故障,medium,LUBRICATE_SERVO,定期潤滑伺服馬達與減速機,20,technician,1,75.0,database_seed_reference
ROBOT_ARM,機器手臂,SERVO_OVERLOAD,伺服馬達負載過高/磨損,減速機磨損導致伺服馬達電流與扭矩負載上升，長期超標將導致故障,medium,REPLACE_SERVO,更換伺服馬達或減速機總成,120,engineer,2,95.0,database_seed_reference
ROBOT_ARM,機器手臂,PATH_ERROR_HIGH,軌跡追蹤誤差過大（TCP 偏移）,機械背隙增大或 TCP 校正偏移導致路徑誤差超過 0.5mm,high,RECALIBRATE_TCP,重新校正工具中心點（TCP）,45,technician,1,90.0,database_seed_reference
ROBOT_ARM,機器手臂,VIBRATION_HIGH,異常振動（碰撞/軸承鬆動）,振動加速度超過 1.5G，可能為碰撞、螺栓鬆動或軸承磨損,high,TIGHTEN_BASE,緊固基座螺栓，檢查並更換防震墊,15,operator,1,70.0,database_seed_reference
ROBOT_ARM,機器手臂,GEARBOX_OVERHEAT,減速機過熱,減速機溫度持續超過 55°C，需加強散熱或潤滑,high,FORCED_COOLDOWN,強制降速並加強散熱，等待降溫,30,operator,1,85.0,database_seed_reference
ROBOT_ARM,機器手臂,GEARBOX_OVERHEAT,減速機過熱,減速機溫度持續超過 55°C，需加強散熱或潤滑,high,LUBRICATE_SERVO,定期潤滑伺服馬達與減速機,20,technician,2,60.0,database_seed_reference
ROBOT_ARM,機器手臂,JOINT_BACKLASH,關節背隙增大,長期使用後減速機背隙增大，影響定位精度,medium,REPLACE_SERVO,更換伺服馬達或減速機總成,120,engineer,1,90.0,database_seed_reference
NOZZLE,噴嘴,NOZZLE_CLOG,噴嘴堵塞（漆渣累積）,塗料殘留在噴嘴孔徑累積，導致噴幅縮小或不均,high,CLEAN_NOZZLE,拆卸清洗噴嘴，去除漆渣結塊,20,operator,1,85.0,database_seed_reference
NOZZLE,噴嘴,NOZZLE_CLOG,噴嘴堵塞（漆渣累積）,塗料殘留在噴嘴孔徑累積，導致噴幅縮小或不均,high,REPLACE_NOZZLE,更換磨損噴嘴,25,technician,2,95.0,database_seed_reference
NOZZLE,噴嘴,NOZZLE_WEAR,噴嘴孔徑磨損擴大,長期使用後噴嘴孔徑磨損，導致噴幅過寬或霧化不良,medium,REPLACE_NOZZLE,更換磨損噴嘴,25,technician,1,95.0,database_seed_reference
NOZZLE,噴嘴,NOZZLE_ANGLE_DRIFT,噴嘴翻滾角偏移,震動或撞擊導致噴嘴安裝角度偏移,medium,RECALIBRATE_NOZZLE_ANGLE,重新校正噴嘴翻滾角,30,technician,1,90.0,database_seed_reference
FILTER,濾網,FILTER_CLOG,濾網堵塞（壓差持續上升）,漆渣累積導致濾網阻塞，壓差持續上升超過 0.30 bar,medium,REPLACE_FILTER,更換濾網,30,operator,1,95.0,database_seed_reference
