time_group,service_class,function_name,purpose,input_parameters,output_summary,api_route,response_schema,db_tables_or_sources,ui_tab_or_component,cache_ttl_s,status,note
past,DataImportService,import_runtime_json,Import runtime JSON into runtime_window/runtime_signal/runtime_reference/runtime_metric/robot_pose,runtime json,runtime tables,,,runtime_window; runtime_signal; runtime_reference; runtime_metric; robot_pose,PastImportOrWriter,,pending_import_contract,Dashboard v15 direct workflow
past,ThresholdImportService,import_threshold_csvs,Idempotent upsert into filter/nozzle/process threshold tables,filter/nozzle/process threshold csv,threshold tables,,,filter_threshold; nozzle_threshold; process_threshold,PastImportOrWriter,,pending_threshold_files,Dashboard v15 direct workflow
past,TTLImportService,import_inferred_ttl,Import inferred TTL outputs when available,inferred ttl,diagnosis/knowledge tables,,,diagnosis_result; knowledge tables pending,PastImportOrWriter,,pending_runtime_rule_output,Dashboard v15 direct workflow
past,ProductionHistoryService,insert_part_history,Insert part history records,part history payload,part_history,,,part_history,PastImportOrWriter,,pending_db_binding,Dashboard v15 direct workflow
past,QCService,insert_qc_result,Insert QC result records,qc payload,qc_result,,,qc_result,PastImportOrWriter,,pending_db_binding,Dashboard v15 direct workflow
current,DashboardService,get_station_dashboard_status,站點摘要卡,line_id,"{total, normal, warning, predict_risk, timestamp}",/api/v1/lines/{line_id}/summary,line_summary.schema.json,production_line; component_master; component_health_snapshot,StationSummaryCards,30,defined_contract,Dashboard v15 direct workflow
current,RuntimeService,get_latest_runtime_window,站點卡片 6 元件健康面板,line_id,signal + reference + metric + pose,/api/v1/lines/{line_id}/stations/latest,station_latest.schema.json,runtime_window; runtime_signal; runtime_reference; runtime_metric; robot_pose,StationCards6Components,30,defined_contract,Dashboard v15 direct workflow
current,DiagnosisService,get_latest_diagnosis,元件異常詳情面板,line_id,"{state_label, severity_rank, confidence, baseline, diff}",/api/v1/lines/{line_id}/diagnosis/latest,diagnosis_latest.schema.json,diagnosis_result; filter_threshold; nozzle_threshold; process_threshold,ComponentDiagnosisDrawer,30,defined_contract,Dashboard v15 direct workflow
current,TrendService,get_metric_trend,時序檢視器 metric range query,line_id; metric_name; start_time; end_time,trend series,/api/v1/lines/{line_id}/metrics/{metric_name}/trend,metric_trend.schema.json,runtime_window; runtime_metric,TimeSeriesSlider,30,defined_contract,Dashboard v15 direct workflow
current,KPIService,get_overall_status,狀態 banner,line_id; date,worst_station + predicted_ok_rate,/api/v1/lines/{line_id}/status,overall_status.schema.json,component_health_snapshot; ml_prediction_result; alert_log,StatusBanner,30,defined_contract,Dashboard v15 direct workflow
