function_layer,function_group,function_class,function_name,purpose_zh,purpose_en,input_parameters,output_summary_zh,output_summary_en,time_concept,related_ui_v4_region,related_schema_or_template,source_owner,database_query_or_service_step,uses_sample_method,uses_formula,uses_rule,uses_future_model,status,note
service,time_series,TimeSeriesServiceFunction,HandleTimeSeriesQuery,UI / Integration Service 呼叫的主 function。,Main function called by UI or integration service.,time_series_query,time_series_output,time_series output object,past/current/future,TimeSeriesViewer,time_series_query.schema.json; time_series_output.schema.json,WebServices,orchestrates service pipeline,yes,yes,external,future data via external model/service,integrated_0531,0531 新增，已改 line_1/line_2/line_3 與 flow_rate_ml_min。
service,time_series,TimeSeriesServiceFunction,DetermineTimeType,依 slider_value 判斷 past/current/future。,Determine time type from slider_value.,slider_value,time_type,past/current/future,past/current/future,TimeSeriesViewer,time_series_query.schema.json,WebServices,service step,no,no,no,no,integrated_0531,slider_value < 0 為 past；=0 為 current；>0 為 future。
service,time_series,TimeSeriesServiceFunction,ResolveLineScope,解析 all 或 line_1/line_2/line_3。,Resolve line scope.,line_scope,lines,selected line list,all lines or selected line,StationCards,time_series_query.schema.json,WebServices,service step,no,no,no,no,integrated_0531,line_scope 可為 all、單一 line、或 line array。
service,time_series,TimeSeriesServiceFunction,GetSampleMethod,依 time_type 取得 sample_method。,Get sample method by time type.,time_type,sample_method_policy,sample method mapping,past/current/future,hidden,time_series_output.schema.json,WebServices,service step,yes,no,no,no,integrated_0531,past=mean；current=recent_average；future=latest_valid。
service,time_series,TimeSeriesServiceFunction,ApplySampleMethods,依 sample_method 對 raw data 取樣。,Apply sample methods to raw data.,raw_line_data; sample_method,sampled_data,sampled parameter values,past/current/future,hidden,time_series_output.schema.json,WebServices,service step,yes,no,no,no,integrated_0531,raw numeric parameters 依 time_type 使用不同取樣方法。
service,time_series,TimeSeriesServiceFunction,CalculateNozzleMetrics,pressure_bar、flow_rate_ml_min、nozzle clog、nozzle maintainability。,pressure_bar、flow_rate_ml_min、nozzle clog、nozzle maintainability。,sampled_data or calculated_data,line output / service output,line output / service output,past/current/future,TimeSeriesViewer,time_series_output.schema.json,WebServices,service step,depends,yes,external,depends,integrated_0531,pressure_bar、flow_rate_ml_min、nozzle clog、nozzle maintainability。
service,time_series,TimeSeriesServiceFunction,CalculateFilterMetrics,flow_loss_pct、filter_clog_rate_pct、filter_maintainability_pct。,flow_loss_pct、filter_clog_rate_pct、filter_maintainability_pct。,sampled_data or calculated_data,line output / service output,line output / service output,past/current/future,TimeSeriesViewer,time_series_output.schema.json,WebServices,service step,depends,yes,external,depends,integrated_0531,flow_loss_pct、filter_clog_rate_pct、filter_maintainability_pct。
service,time_series,TimeSeriesServiceFunction,CalculateSprayWidthMetrics,spray_width_mm、width_error、coverage_score。,spray_width_mm、width_error、coverage_score。,sampled_data or calculated_data,line output / service output,line output / service output,past/current/future,TimeSeriesViewer,time_series_output.schema.json,WebServices,service step,depends,yes,external,depends,integrated_0531,spray_width_mm、width_error、coverage_score。
service,time_series,TimeSeriesServiceFunction,CalculateLineMetrics,彙整 metrics、process_parameters、component_metrics、spray_width_image。,彙整 metrics、process_parameters、component_metrics、spray_width_image。,sampled_data or calculated_data,line output / service output,line output / service output,past/current/future,TimeSeriesViewer,time_series_output.schema.json,WebServices,service step,depends,yes,external,depends,integrated_0531,彙整 metrics、process_parameters、component_metrics、spray_width_image。
service,time_series,TimeSeriesServiceFunction,BuildLineOutput,建立單一 line output。,建立單一 line output。,sampled_data or calculated_data,line output / service output,line output / service output,past/current/future,TimeSeriesViewer,time_series_output.schema.json,WebServices,service step,depends,yes,external,depends,integrated_0531,建立單一 line output。
service,time_series,TimeSeriesServiceFunction,BuildOutput,建立 TimeSeriesService output。,建立 TimeSeriesService output。,sampled_data or calculated_data,line output / service output,line output / service output,past/current/future,TimeSeriesViewer,time_series_output.schema.json,WebServices,service step,depends,yes,external,depends,integrated_0531,建立 TimeSeriesService output。
database,database_query,DatabaseQueryFunction,get_latest_runtime_window,Get latest runtime window for one line.,Get latest runtime window for one line.,line_id,database result,database result,depends,depends,Database ER model,Database,database query,no,no,depends,depends,reference_0531,From Database/sprayline_database_er_model.ipynb; naming follows line_1/line_2/line_3 and flow_rate_ml_min.
database,database_query,DatabaseQueryFunction,get_runtime_window,Get runtime window by window_id.,Get runtime window by window_id.,window_id,database result,database result,depends,depends,Database ER model,Database,database query,no,no,depends,depends,reference_0531,From Database/sprayline_database_er_model.ipynb; naming follows line_1/line_2/line_3 and flow_rate_ml_min.
database,database_query,DatabaseQueryFunction,get_metric_trend,Get metric trend.,Get metric trend.,line_id; metric_name; start_time; end_time,database result,database result,depends,depends,Database ER model,Database,database query,no,no,depends,depends,reference_0531,From Database/sprayline_database_er_model.ipynb; naming follows line_1/line_2/line_3 and flow_rate_ml_min.
database,database_query,DatabaseQueryFunction,get_latest_diagnosis,Get latest diagnosis.,Get latest diagnosis.,line_id,database result,database result,depends,depends,Database ER model,Database,database query,no,no,depends,depends,reference_0531,From Database/sprayline_database_er_model.ipynb; naming follows line_1/line_2/line_3 and flow_rate_ml_min.
database,database_query,DatabaseQueryFunction,get_diagnosis_timeline,Get diagnosis timeline.,Get diagnosis timeline.,line_id; category; start_time; end_time,database result,database result,depends,depends,Database ER model,Database,database query,no,no,depends,depends,reference_0531,From Database/sprayline_database_er_model.ipynb; naming follows line_1/line_2/line_3 and flow_rate_ml_min.
database,database_query,DatabaseQueryFunction,get_station_dashboard_status,Get dashboard station status.,Get dashboard station status.,line_id,database result,database result,depends,depends,Database ER model,Database,database query,no,no,depends,depends,reference_0531,From Database/sprayline_database_er_model.ipynb; naming follows line_1/line_2/line_3 and flow_rate_ml_min.
database,database_query,DatabaseQueryFunction,get_component_health_summary,Get component health summary.,Get component health summary.,line_id,database result,database result,depends,depends,Database ER model,Database,database query,no,no,depends,depends,reference_0531,From Database/sprayline_database_er_model.ipynb; naming follows line_1/line_2/line_3 and flow_rate_ml_min.
database,database_query,DatabaseQueryFunction,get_recent_quality_trend,Get recent quality trend.,Get recent quality trend.,line_id,database result,database result,depends,depends,Database ER model,Database,database query,no,no,depends,depends,reference_0531,From Database/sprayline_database_er_model.ipynb; naming follows line_1/line_2/line_3 and flow_rate_ml_min.
database,database_query,DatabaseQueryFunction,get_ml_feature_input,Get ML feature input.,Get ML feature input.,part_uuid,database result,database result,depends,depends,Database ER model,Database,database query,no,no,depends,depends,reference_0531,From Database/sprayline_database_er_model.ipynb; naming follows line_1/line_2/line_3 and flow_rate_ml_min.
